Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
2/8/2024,ADALBERTOS MEXICAN FOO,DEBIT,Food,Fast Food,Adalberto,,, $(13),,
2/17/2024,ARCO#83008GRANTLINEQPS,DEBIT,Automotive,Gas,ARCO,,, $(74),,
2/12/2024,"Ariat International, I",DEBIT,Clothes,Shoes,,,Wedding, $(193),,
1/22/2024,BIG TREES MARKET,DEBIT,Food,Groceries,Big Trees Market,,Snow Trip, $(102),,
1/14/2024,BJS RESTAURANTS 436,DEBIT,Food,Restaurant,,,, $(58),,
1/24/2024,CHEVRON 0209212,DEBIT,Automotive,Gas,Chevron,,, $(52),,
1/19/2024,CHEVRON 0308114,DEBIT,Automotive,Gas,Chevron,,, $(87),,
2/10/2024,CHEVRON 0376769,DEBIT,Automotive,Gas,Chevron,,, $(56),,
2/10/2024,CHEVRON 0376769,DEBIT,Automotive,Gas,Chevron,,, $(15),,
2/4/2024,CHEVRON 0376769,DEBIT,Automotive,Gas,Chevron,,, $(108),,
2/3/2024,CHEVRON 0376769,DEBIT,Automotive,Gas,Chevron,,, $(45),,
1/13/2024,CHEVRON 0376769,DEBIT,Automotive,Gas,Chevron,,, $(41),,
1/7/2024,CHEVRON 0376769,DEBIT,Automotive,Gas,Chevron,,, $(60),,
1/19/2024,CHICK-FIL-A #03441,DEBIT,Food,Fast Food,Chick-fil-a,,, $(30),,
2/15/2024,CITYOFSAC_IPS_PKGMETER,DEBIT,Automotive,Parking,,,, $(3),,
2/16/2024,COCA COLA SACRAMENTO,DEBIT,,,,,, $(6),,
1/19/2024,DOLLAR TREE,DEBIT,Shopping,,Dollar Tree,,, $(22),,
1/10/2024,EASTSIDE CHEF RESTAURA,DEBIT,Food,Restaurant,East Side,,, $(61),,
1/17/2024,FRANKLIN RANCH PET HOS,DEBIT,Pet,Vet,Franklin Ranch,,Osey, $(232),,
1/28/2024,HARBOR TRUCK & AUTO,DEBIT,,,,,, $(42),,
2/18/2024,IN-N-OUT NATOMAS,DEBIT,,,,,, $(30),,
2/9/2024,IN-N-OUT ROSEVILLE,DEBIT,,,,,, $(34),,
1/5/2024,IN-N-OUT ROSEVILLE,DEBIT,,,,,, $(26),,
2/21/2024,INTEREST CHARGE-PURCHASES,DEBIT,,,,,, $(94),,
1/21/2024,INTEREST CHARGE-PURCHASES,DEBIT,,,,,, $(94),,
2/16/2024,LAKE NATOMA INN,DEBIT,,,,,, $(297),,
2/20/2024,LOWES #02755*,DEBIT,,,,,, $(249),,
2/12/2024,LOWES #02755*,DEBIT,,,,,, $(63),,
2/5/2024,LOWES #02755*,DEBIT,,,,,, $(53),,
1/5/2024,MACYS  ROSEVILLE,DEBIT,,,,,, $(46),,
1/5/2024,MACYS  ROSEVILLE,DEBIT,,,,,, $(38),,
1/10/2024,NEWEGG INC.,DEBIT,,,,,, $(204),,
2/15/2024,NUGGET MARKET #6,DEBIT,,,,,, $(43),,
2/9/2024,NUGGET MARKET #6,DEBIT,,,,,, $(10),,
2/7/2024,NUGGET MARKET #6,DEBIT,,,,,, $(101),,
2/4/2024,NUGGET MARKET #6,DEBIT,,,,,, $(35),,
1/17/2024,NUGGET MARKET #6,DEBIT,,,,,, $(79),,
1/7/2024,NUGGET MARKET #6,DEBIT,,,,,, $(58),,
1/5/2024,NUGGET MARKET #6,DEBIT,,,,,, $(81),,
2/15/2024,OLD SACRAMENTO STATE H,DEBIT,,,,,, $(24),,
1/16/2024,OLYMPUS POINTE STM 12,DEBIT,,,,,, $(36),,
2/10/2024,ONCE UPON A CHILD,DEBIT,,,,,, $(8),,
1/18/2024,ONCE UPON A CHLD #2026,DEBIT,,,,,, $(24),,
2/17/2024,ORKIN  LLC 002,DEBIT,,,,,, $(53),,
1/17/2024,ORKIN  LLC 002,DEBIT,,,,,, $(53),,
1/17/2024,PANERA BREAD #202204,DEBIT,,,,,, $(14),,
2/16/2024,PAPA MURPHY'S CA227,DEBIT,,,,,, $(51),,
2/5/2024,Payment Received,CREDIT,,,,,," $2,200 ",,
1/6/2024,Payment Received,CREDIT,,,,,," $5,091 ",,
2/16/2024,RALEY S #409,DEBIT,,,,,, $(26),,
2/12/2024,RALEY S #448,DEBIT,,,,,, $(173),,
1/10/2024,RAPID RX USA,DEBIT,,,,,, $(63),,
1/26/2024,ROMANS PIZZA,DEBIT,,,,,, $(106),,
1/19/2024,ROSEVILLE ACE HARDWARE,DEBIT,,,,,, $(26),,
2/2/2024,ROSEVILLE GROCERY OU,DEBIT,,,,,, $(275),,
1/18/2024,ROSEVILLE GROCERY OU,DEBIT,,,,,, $(440),,
1/18/2024,ROSEVILLE KIDS DENTIST,DEBIT,,,,,, $(59),,
1/13/2024,ROUND TABLE PIZZA 916,DEBIT,,,,,, $(89),,
2/10/2024,SACRAMENTO DI,DEBIT,,,,,, $(50),,
1/25/2024,SACRAMENTO ZOOLOGICAL,DEBIT,,,,,, $(5),,
1/28/2024,SAFEWAY #1647,DEBIT,,,,,, $(34),,
1/5/2024,SHELL OIL 574430148QPS,DEBIT,,,,,, $(37),,
2/18/2024,SHELL OIL 574432223QPS,DEBIT,,,,,, $(62),,
2/3/2024,SP KIRA HOME,DEBIT,,,,,, $(232),,
2/6/2024,SP THE ESSENTIAL MARKE,DEBIT,,,,,, $(29),,
1/2/2024,SP WATERBIRTHSOLUTIO,DEBIT,,,,,, $(63),,
1/12/2024,SQ *FRESH BAKED PRETZE,DEBIT,,,,,, $(12),,
2/9/2024,SQ *GDS,DEBIT,,,,,, $(65),,
2/9/2024,SQ *GDS,DEBIT,,,,,, $(38),,
2/17/2024,SQ *WORLD TRAVELER COF,DEBIT,,,,,, $(6),,
2/2/2024,STARBUCKS STORE 05499,DEBIT,,,,,, $(19),,
1/5/2024,STARBUCKS STORE 05499,DEBIT,,,,,, $(16),,
1/21/2024,STARBUCKS STORE 06533,DEBIT,,,,,, $(23),,
2/3/2024,STARBUCKS STORE 06724,DEBIT,,,,,, $(15),,
2/12/2024,STARBUCKS STORE 13400,DEBIT,,,,,, $(17),,
1/20/2024,STARBUCKS STORE 48275,DEBIT,,,,,, $(15),,
2/12/2024,TACO BELL #028754,DEBIT,,,,,, $(13),,
1/20/2024,TARGET        00010256,DEBIT,,,,,, $(155),,
2/4/2024,TARGET        00022681,DEBIT,,,,,, $(116),,
