Account,Details,Date,Description,Type,Check or Slip #,Just Text,Sub Category,Primary Category,Vendor,Amount,Tax/Reason,Notes
Business 7060,DEBIT,12/13/2021,WYRE-132681 415-3747356 FL 12/10,DEBIT_CARD,,Wyre Fl,NFT Purchase,Crypto,Wyre,$113.25,Advertisement,
Business 7060,DEBIT,12/1/2021,WYRE-142666 415-3747356 CA 11/30,DEBIT_CARD,,Wyre Ca,NFT Purchase,Crypto,Wyre,$236.21,Advertisement,
Bills 7129,DEBIT,12/10/2021,tithe.ly tithe.ly ST-W7J9B4V7R0C5 WEB ID: 4270465600,ACH_DEBIT,,Tithe Ly Tithe Ly St Wjbvrc Web Id,Tithe,Charity,GChurch,"$2,368.00",Charity,
Bills 7129,DEBIT,12/10/2021,tithe.ly tithe.ly ST-F9G6S4N9E1A0 WEB ID: 4270465600,ACH_DEBIT,,Tithe Ly Tithe Ly St Fgsnea Web Id,Tithe,Charity,GChurch,$200.00,Charity,
Bills 7129,DEBIT,11/3/2021,tithe.ly tithe.ly ST-R2I1G6U5T8W4 WEB ID: 1800948598,ACH_DEBIT,,Tithe Ly Tithe Ly St Rigutw Web Id,Tithe,Charity,GChurch,$182.12,Charity,
Bills 7129,DEBIT,9/16/2021,tithe.ly tithe.ly ST-Y0S8J5M2P8X8 WEB ID: 1800948598,ACH_DEBIT,,Tithe Ly Tithe Ly St Ysjmpx Web Id,Tithe,Charity,GChurch,"$3,238.84",Charity,
Bills 7129,DEBIT,3/24/2021,tithe.ly tithe.ly ST-R5E6O3B7B1Y6 WEB ID: 1800948598,ACH_DEBIT,,Tithe Ly Tithe Ly St Reobby Web Id,Tithe,Charity,GChurch,$646.77,Charity,
Bills 7129,DEBIT,3/10/2021,tithe.ly tithe.ly ST-S5W5F5O7B3V8 WEB ID: 1800948598,ACH_DEBIT,,Tithe Ly Tithe Ly St Swfobv Web Id,Tithe,Charity,GChurch,"$1,252.83",Charity,
Bills 7129,DEBIT,1/6/2021,tithe.ly tithe.ly ST-J7N9H9Z2D6J5 WEB ID: 1800948598,ACH_DEBIT,,Tithe Ly Tithe Ly St Jnhzdj Web Id,Tithe,Charity,GChurch,"$2,564.40",Charity,
Bills 7129,DEBIT,12/2/2021,FOURSQUARE CHURCH 888-6354234 CA 12/01,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,11/5/2021,FOURSQUARE CHURCH 888-6354234 CA 11/04,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,10/4/2021,FOURSQUARE CHURCH 888-6354234 CA 10/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,9/3/2021,FOURSQUARE CHURCH 888-6354234 CA 09/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,8/3/2021,FOURSQUARE CHURCH 888-6354234 CA 08/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,7/6/2021,FOURSQUARE CHURCH 888-6354234 CA 07/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,6/3/2021,FOURSQUARE CHURCH 888-6354234 CA 06/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,5/5/2021,FOURSQUARE CHURCH 888-6354234 CA 05/04,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,4/5/2021,FOURSQUARE CHURCH 888-6354234 CA 04/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,3/3/2021,FOURSQUARE CHURCH 888-6354234 CA 03/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
Bills 7129,DEBIT,2/3/2021,FOURSQUARE CHURCH 888-6354234 CA 02/02,DEBIT_CARD,,Foursquare Church Ca,Bollingers,Donation,Foursquare,$10.00,Charity,
